country,year,yearly_mean,yearly_min,yearly_max
Afghanistan,1838,18.3795714285714,7.475,26.877
Afghanistan,1840,13.4134545454545,0.735,27.739
Afghanistan,1841,13.9976,-0.883,27.104
Afghanistan,1842,15.1546666666667,3.33,25.798
Afghanistan,1843,13.75625,0.674,26.748
Afghanistan,1844,13.14875,0.959,26.576
Afghanistan,1845,13.3058333333333,0.421,26.383
Afghanistan,1846,14.0308333333333,1.194,27.278
Afghanistan,1847,13.4755833333333,-0.402,27.223
Afghanistan,1848,13.13625,-1.928,26.706
Afghanistan,1849,13.4444166666667,0.777,26.911
Afghanistan,1850,13.3260833333333,-1.288,27.194
Afghanistan,1851,13.6056666666667,-0.226,26.455
Afghanistan,1852,13.5411666666667,0.336,26.8
Afghanistan,1853,13.4558333333333,-0.148,26.914
Afghanistan,1854,13.60575,-0.018,26.588
Afghanistan,1855,13.9238333333333,1.189,26.476
Afghanistan,1856,13.4646666666667,0.421,26.778
Afghanistan,1857,13.0744166666667,0.497,26.442
Afghanistan,1858,13.6641666666667,0.549,26.764
Afghanistan,1859,13.9115833333333,-0.0759999999999999,26.991
Afghanistan,1860,13.4045833333333,-0.068,27.355
Afghanistan,1861,13.26975,-1.702,27.165
Afghanistan,1862,12.9353333333333,-1.283,26.783
Afghanistan,1863,13.639,0.943,27.002
Afghanistan,1864,13.1756666666667,0.0919999999999999,27.233
Afghanistan,1865,13.49075,0.764,26.502
Afghanistan,1866,13.4178333333333,0.192,26.925
Afghanistan,1867,13.9751666666667,0.169,26.734
Afghanistan,1868,13.6935,0.494,27.142
Afghanistan,1869,13.7780833333333,0.486,27.203
Afghanistan,1870,13.7993333333333,-0.685,26.819
Afghanistan,1871,13.631,-0.685,26.562
Afghanistan,1872,13.88275,-0.55,27.335
Afghanistan,1873,13.9959166666667,0.298,27.035
Afghanistan,1874,13.8905833333333,0.876,26.457
Afghanistan,1875,14.1733333333333,0.102,27.361
Afghanistan,1876,13.5649166666667,0.185,26.764
Afghanistan,1877,13.71525,0.637,27.155
Afghanistan,1878,13.8774166666667,-0.816,27.422
Afghanistan,1879,13.928,1.452,26.753
Afghanistan,1880,14.19975,0.375,25.839
Afghanistan,1881,14.2703333333333,1.214,26.777
Afghanistan,1882,13.4341666666667,0.475,25.622
Afghanistan,1883,13.6008333333333,-0.321,26.481
Afghanistan,1884,13.3818333333333,2.177,25.911
Afghanistan,1885,13.0315833333333,-1.327,25.967
Afghanistan,1886,13.2005833333333,-0.665,26.846
Afghanistan,1887,13.6414166666667,-1.584,26.526
Afghanistan,1888,14.2431666666667,1.149,27.012
Afghanistan,1889,13.7273333333333,-1.589,26.771
Afghanistan,1890,13.72225,0.675,26.609
Afghanistan,1891,13.23725,-1.48,26.124
